number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_early_stopped_epoch,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
22,0.2670610647123221,COMPLETE,2.699678486759249,0.2009795464272015,0.0005046385990724487,2.0338557327249137e-05,0.2918452070187477,0.0003106531365302485,0.2670610647123221,16.0,"[0.7777777777777778, 1.0, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.3090522886025913, 0.10350569162567859, 0.22359830096665015, 0.4581958475257699, 0.2409531948409207]",24.0,"[0.2877714292006001, 0.07960848727445421, 0.20232561768391047, 0.35620919056236744, 0.2308289150900428]",
23,0.2741956019092841,COMPLETE,2.2012408237751995,0.2075406225287287,0.0005219786185209207,3.133451970875548e-05,0.24547734365155144,0.0003415382871747371,0.2741956019092841,8.0,"[0.7777777777777778, 0.9444444444444444, 0.9473684210526315, 0.8947368421052632, 0.8421052631578947]","[0.2570457273290635, 0.1880219435368215, 0.16703811493598072, 0.44810845253998294, 0.310763771204572]",19.0,"[0.21978789155835127, 0.1621821658926971, 0.14820456427897674, 0.35444933256918665, 0.27512326789636926]",
24,0.29058418000958497,COMPLETE,2.5720416129310957,0.2567354313254087,0.00010162169006368952,2.418092849725909e-05,0.2800711256226658,0.0002778244006002344,0.29058418000958497,11.0,"[0.8333333333333334, 0.8888888888888888, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.2661106443871783, 0.2858785498084823, 0.18490954715219377, 0.4492076500971866, 0.26681450860288397]",19.0,"[0.25334859372823204, 0.23326965975057748, 0.14640227634653888, 0.3565812542250282, 0.2576379604399431]",
25,0.31175253081835136,COMPLETE,2.418593993811152,0.20140665273926342,0.0012426793612076697,1.9779624842810002e-05,0.30276840970699925,0.0005082450715925951,0.31175253081835136,10.0,"[0.8333333333333334, 0.8888888888888888, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.2915612697850318, 0.18636652411320634, 0.2697128201804222, 0.5050687897325444, 0.306053250280552]",18.0,"[0.2915612697850318, 0.16599749766267755, 0.23605153644175994, 0.391644012182951, 0.29674345788647005]",
26,0.2840145247250424,COMPLETE,2.8739906761570264,0.29450494480911954,0.00019559432443921738,5.858868923569496e-05,0.34698219968861566,0.00015166810318657258,0.2840145247250424,7.0,"[0.8888888888888888, 0.8888888888888888, 0.9473684210526315, 0.8947368421052632, 0.8421052631578947]","[0.264918166351385, 0.26625577736261147, 0.16605191065422045, 0.4579875345499371, 0.2648592347070582]",18.0,"[0.15539488424568995, 0.1895753097044993, 0.14028285844903476, 0.3800612156222709, 0.2062274135516514]",
27,0.8282614419184237,PRUNED,3.289677465629935,0.22945567175257736,0.00042278375524282974,0.002156526747807244,0.22492103139980835,3.330238156087226e-05,,,,,,,7.0
28,3.313162584680628,PRUNED,2.2362081397019717,0.21871897348724986,0.0033467961615432896,0.0041946462124573996,0.2713090962983292,0.0007864978751369729,,,,,,,7.0
29,0.9769625452456967,PRUNED,2.949320183876439,0.3536251077993684,6.685088945533619e-05,0.0009091886550549123,0.3842322826746045,1.8643272986889978e-06,,,,,,,7.0
30,0.30413103535388564,COMPLETE,3.0170427328152205,0.315344485204747,1.349184327838545e-05,0.0005912148514718079,0.4992003187831988,5.806901708693762e-06,0.30413103535388564,20.0,"[0.8888888888888888, 0.9444444444444444, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315]","[0.2997084734747403, 0.34580294477866386, 0.3550844671092693, 0.377768587624901, 0.14229070378185402]",27.0,"[0.09252314102913159, 0.26441270789263804, 0.1021069557877318, 0.2098484855309113, 0.098074998849368]",
31,0.38323289831604657,PRUNED,2.808337508472325,0.2504232845178724,0.0002919513612076675,1.803665951080786e-05,0.29630163736812704,7.212367353729826e-05,,,,,,,7.0
32,0.37950403208664635,PRUNED,2.7155561074599595,0.23394545433395358,0.0006111594340053702,1.48438410068014e-05,0.28714091545416065,0.00013752910086414964,,,,,,,7.0
33,0.33010437791782826,COMPLETE,2.5506600660120977,0.2156347738637021,0.00015016781139249474,6.859700238122412e-05,0.32852847721206474,0.0002053812478079491,0.33010437791782826,5.0,"[0.8888888888888888, 0.7777777777777778, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.2830588366098002, 0.3127738688224074, 0.23859579225972993, 0.4136410477396423, 0.4024523441575615]",18.0,"[0.19224837229954675, 0.25414412874589387, 0.1954155447507925, 0.2878142736952118, 0.28180895711337045]",
